Date,Game 1,Game 2,Game 3,Series,Total Pins,Number Games
9/10/2018,169,132,152,453,453,3
9/17/2018,192,148,155,495,948,6
9/24/2018,180,167,156,503,1451,9
10/1/2018,157,150,160,467,1918,12
10/8/2018,142,178,165,485,2403,15
10/15/2018,152,146,160,458,2861,18
10/22/2018,132,141,169,442,3303,21
10/29/2018,133,155,171,459,3762,24
11/5/2018,142,158,121,421,4183,27
11/12/2018,117,163,145,425,4608,30
11/19/2018,135,129,150,414,5022,33
11/26/2018,151,162,146,459,5481,36
12/3/2018,159,160,169,488,5969,39
12/10/2018,157,133,180,470,6439,42
12/17/2018,179,173,174,526,6965,45
1/7/2019,126,141,155,422,7387,48
1/14/2019,153,136,142,431,7818,51
1/21/2019,127,187,152,466,8284,54
1/28/2019,155,149,155,459,8743,57
2/4/2019,160,150,135,445,9188,60
2/11/2019,171,197,157,525,9713,63
2/18/2019,155,117,98,370,10083,66
2/25/2019,223,166,145,534,10617,69
3/4/2019,153,181,167,501,11118,72
3/11/2019,204,189,201,594,11712,75
3/18/2019,168,149,178,495,12207,78
3/25/2019,165,141,177,483,12690,81
4/1/2019,223,180,201,604,13294,84
4/8/2019,176,188,198,562,13856,87
4/15/2019,176,148,195,519,14375,90
,,,,,,
,,,,,,
,,,,,,
